gender,age_group,run,patients,patients_with_ddi
Female,10-14,92,247714,6083
Female,10-14,93,247714,525
Female,10-14,94,247714,426
Female,10-14,95,247714,6061
Female,10-14,96,247714,944
Female,10-14,97,247714,1703
Female,10-14,98,247714,1147
Female,10-14,99,247714,251
Female,10-14,100,247714,540
Female,15-19,1,299495,4675
Female,15-19,2,299495,78783
Female,15-19,3,299495,12339
Female,15-19,4,299495,15291
Female,15-19,5,299495,1532
Female,15-19,6,299495,5362
Female,15-19,7,299495,11998
Female,15-19,8,299495,2380
Female,15-19,9,299495,2224
Female,15-19,10,299495,3167
Female,15-19,11,299495,3045
Female,15-19,12,299495,4838
Female,15-19,13,299495,2456
Female,15-19,14,299495,5741
Female,15-19,15,299495,11218
Female,15-19,16,299495,3066
Female,15-19,17,299495,1265
Female,15-19,18,299495,1837
Female,15-19,19,299495,6770
Female,15-19,20,299495,1413
Female,15-19,21,299495,5264
Female,15-19,22,299495,2847
Female,15-19,23,299495,15140
Female,15-19,24,299495,3353
Female,15-19,25,299495,9729
Female,15-19,26,299495,7046
Female,15-19,27,299495,7646
Female,15-19,28,299495,1883
Female,15-19,29,299495,35790
Female,15-19,30,299495,2654
Female,15-19,31,299495,4804
Female,15-19,32,299495,1888
Female,15-19,33,299495,13229
Female,15-19,34,299495,1507
Female,15-19,35,299495,2704
Female,15-19,36,299495,2012
Female,15-19,37,299495,4644
Female,15-19,38,299495,1024
Female,15-19,39,299495,1848
Female,15-19,40,299495,8863
Female,15-19,41,299495,8938
Female,15-19,42,299495,3826
Female,15-19,43,299495,6155
Female,15-19,44,299495,6268
Female,15-19,45,299495,1340
Female,15-19,46,299495,6987
Female,15-19,47,299495,4778
Female,15-19,48,299495,5004
Female,15-19,49,299495,8972
Female,15-19,50,299495,2025
Female,15-19,51,299495,7614
Female,15-19,52,299495,1523
Female,15-19,53,299495,1948
Female,15-19,54,299495,2256
Female,15-19,55,299495,3169
Female,15-19,56,299495,1786
Female,15-19,57,299495,2625
Female,15-19,58,299495,7453
Female,15-19,59,299495,1550
Female,15-19,60,299495,7756
Female,15-19,61,299495,7962
Female,15-19,62,299495,6577
